,train,val,test
0,247543,244429_623111010,244345
1,247321,245132_626201002,247601
2,246215_607233002,245400_684215001,247637
3,247577,247487_,247497_589809001
4,247587,247685_588194030,245304_685907001
5,247608,248094,247850_
6,247656,246257_,245836_603631003
7,247193,258073,245862_598653014
8,247684,257029_754767001,247663_587829001
9,247738,245260_627213012,247622
10,247353,245275_627411012,246230_605521003
11,248090,247904_583194001,244612_657481010
12,248109,244630_657362007,245945_595691002
13,248181,245761_600226004,255304
14,248150,255298,245934_594991001
15,248198,245371_683442002,244306
16,248184,247898_583187001,245793_602155009
17,248216,244390_621990013,248078_593831002
18,248255,247678_587935004,244755_664460002
19,247571_581243002,244490_625328009,245833_603526001
20,247574_581242009,245766_600563002,246207_607225002
21,247590_581975001,247624,247870_590541002
22,247712_584444012,247859_590739001,244384_621852004
23,247791_591555010,257569_769642018,245310_687426001
24,245937_595088002,247836_585998003,248091_593426003
25,247687_588162004,257330_768882015,245875_599072001
26,247493_589943001,244302_629075002,244660_664242008
27,247817_591099007,257045_772025026,247520_594507001
28,247835_,257276_765812004,246205_606941005
29,244436_623280006,255259,247749_
30,247803_591373003,258176_775163002,255246
31,247763_592027001,245407_684812002,244549_656452001
32,246518_,245951_595842002,246534_
33,248086_593532002,257243_762103001,255213
34,247882_594240001,245301_685775012,258005
35,245938_595131001,245073_668784001,257071_757000001
36,244305_629062003,255302,257078_756939001
37,247550_,255379,245398_684212002
38,245954_596076006,247185,247697_588910002
39,245956_596109001,255197,244487_661821007
40,245904_597779001,244788_664625001,244814_664614009
41,245932_598064002,244385,245283_628534010
42,245723_599545012,245819_603323001,257162_759402003
43,245804_,245892_,"258120_781272^1A,1B^A18"
44,245784_,244523,245046_667438012
45,245797_,"258162_776838^1,2A^A18",247762_
46,245810_,245323_686863004,248024_593914006
47,245829_603454001,255275,255200
48,245823_603308004,247599,255439
49,245851_603625001,258039,257123_758258026
50,245861_,255294,244479
51,246081_,248079_593590009,245800_602496001
52,246481_615202007,246171_,245751_600150003
53,246381_614451003,248105,247534
54,246203_606948001,247501_589801001,247558
55,246241_608313003,244381_621691016,245796_
56,246430_618866002,247617_587008002,247572
57,246247_,244358_631336010,247302
58,246267_609996002,246474_615219002,245775_600932001
59,246379_614335002,247858_586583010,247586_581653001
60,246377_613789001,246176_605205001,246222_605713003
61,246368_613703009,247662_587732002,245940_
62,246412_614745007,247910_583436008,247609_582573002
63,246389_614701002,247198,248111
64,246444_615719010,244377_631846008,247857_590734012
65,244352_630624006,246187_605373002,248039_593930001
66,246434_618740002,245815_603147010,245749_600148002
67,244325_620612004,248096_592282001,245141_626541007
68,244351_,,
69,244424_622922005,,
70,244496_625656006,,
71,245273_627374005,,
72,245247_627345002,,
73,245278_627691002,,
74,245284_628547007,,
75,244319_629728012,,
76,244364_631524002,,
77,244394_631718009,,
78,244565_656451009,,
79,245183_655848001,,
80,244514_656244015,,
81,244507_656262003,,
82,244521_656605010,,
83,245082_658290009,,
84,244637_658286001,,
85,244398_659401001,,
86,244411_659421011,,
87,244359,,
88,244525_662487008,,
89,244509_662438007,,
90,244522_662475006,,
91,244655_663828007,,
92,244634_663840003,,
93,244670_664015010,,
94,244843_665425002,,
95,244997_666623002,,
96,245060_668066002,,
97,245063_668272001,,
98,245071_669533001,,
99,244405,,
100,244362,,
101,244422,,
102,244462,,
103,244486,,
104,244513,,
105,245377_683801002,,
106,245305_685908002,,
107,245326_,,
108,245320_687141012,,
109,255358,,
110,255367,,
111,255290,,
112,255222,,
113,255283,,
114,255296,,
115,255322,,
116,255400,,
117,255407,,
118,257311_767909001,,
119,257083_756942003,,
120,257117_758051001,,
121,257110_757591001,,
122,257139_759165001,,
123,257227_761551001,,
124,257251_762784004,,
125,257272_765192001,,
126,257296_766686002,,
127,257299_767142001,,
128,257331_768639030,,
129,258184_774707002,,
130,"258160_776839^1A,1B^A18",,
131,258142_778486026,,
132,"258111_781724^1A,1B^A23",,
133,"257982_782254^1A,1B^A18",,
134,258092,,
135,258076,,
136,245838_603618004,,
137,245902_597605003,,
138,247092,,
139,247604_582391010,,
140,247527,,
141,247595,,
142,247659,,
143,247679,,
144,247643,,
145,247664,,
146,247688,,
147,248107,,
148,248171,,
149,248224,,
150,248212,,
151,247544_,,
152,247567_581184003,,
153,247594_582028001,,
154,245733_,,
155,247890_582952012,,
156,247896_583052002,,
157,247929_584280008,,
158,247804_585665001,,
159,247672_587919004,,
160,247638_589050003,,
161,247533_589234002,,
162,247875_590507004,,
163,247757_592172006,,
164,245910_597777001,,
165,245067_669345006,,
166,248095_593423008,,
167,247899_593940011,,
168,247880_594370002,,
169,247887_,,
170,245759_600249014,,
171,246108_,,
172,245741_598339001,,
173,245746_600109001,,
174,245768_600601001,,
175,245826_603325008,,
176,245807_,,
177,245830_603452002,,
178,245835_,,
179,246101_604078002,,
180,246219_605855004,,
181,246212_607223001,,
182,246234_608004002,,
183,246245_608572002,,
184,246273_610145002,,
185,246269_610112001,,
186,246305_612679002,,
187,246295_612677009,,
188,246326_613425010,,
189,246409_614740002,,
190,246415_614730003,,
191,246487_615051001,,
192,244341_621331012,,
193,244404_622409002,,
194,244418_622759001,,
195,244453_623461003,,
196,244471_624333010,,
197,245166_626537001,,
198,245291_628725004,,
199,244320,,
200,244454_660524001,,
201,244438_659956008,,
202,244698_664469003,,
203,244857_665672003,,
204,244930_666053001,,
205,245064_668422008,,
206,245047_667676003,,
207,244317,,
208,244348,,
209,244395,,
210,244459,,
211,245363_681233001,,
212,245334_678850005,,
213,245330_,,
214,245342_679861008,,
215,245344_681243008,,
216,245375_683596011,,
217,245401_684606007,,
218,245404_684803002,,
219,245296_685436002,,
220,245294_685229001,,
221,245298_685444002,,
222,245311_686018009,,
223,257178_759622003,,
224,255209,,
225,255240,,
226,255230,,
227,255292,,
228,255314,,
229,255330,,
230,255347,,
231,255365,,
232,255372,,
233,255396,,
234,255420,,
235,255423,,
236,257041_755183017,,
237,257022_754771004,,
238,257091_757122002,,
239,257136_758429021,,
240,257147_759391001,,
241,257210_760377016,,
242,257219_760848001,,
243,257216_760469001,,
244,257240_762105016,,
245,257255_762801005,,
246,257284_766219002,,
247,257307_767762001,,
248,257303_767621001,,
249,257323_768648032,,
250,257588_769881030,,
251,"258117_781508^BD,1A^A24",,
252,258173_775661003,,
253,"258158_777049^1A,1B^",,
254,258145_778210001,,
255,258065,,
256,258104_,,
257,"258102_782018^1B,1C^A18",,
258,258049,,
259,257956,,
260,257952,,
261,247616,,
262,247631,,
263,247985,,
264,247390,,
265,248161,,
266,247578_581473001,,
267,247709_584422001,,
268,247737_584727003,,
269,247554_589092002,,
270,247743_588896002,,
271,247524_589290007,,
272,247511_589507002,,
273,247828_590980007,,
274,245926_597920014,,
275,245916_597895006,,
276,245736_598252002,,
277,245865_598718001,,
278,245854_598505011,,
279,245872_599034001,,
280,245754_,,
281,246262_609646018,,
282,246124_604524002,,
283,246210_607375001,,
284,246264_,,
285,246278_610152008,,
286,246301_612364001,,
287,244367_621523007,,
288,244333_620629008,,
289,244485_624612002,,
290,245100_626023002,,
291,245232_626875001,,
292,245280_628189002,,
293,244347_630464002,,
294,245086_659227002,,
295,245090_659261007,,
296,245091_659396008,,
297,245088_659285001,,
298,244415_659639007,,
299,244461_661194001,,
300,244559_662856002,,
301,244534_662676002,,
302,244659_663992006,,
303,244841_664802002,,
304,244990_666633009,,
305,245043_667239002,,
306,245075_669913005,,
307,244301,,
308,244335,,
309,244446,,
310,244371,,
311,244433,,
312,244410,,
313,244417,,
314,244452,,
315,244499,,
316,244495,,
317,245336_679087002,,
318,245372_683551004,,
319,245312_686086002,,
320,245328_686401015,,
321,245314_686838002,,
322,245317_687252002,,
323,255253,,
324,257034_754971004,,
325,255220,,
326,255235,,
327,255205,,
328,255227,,
329,255270,,
330,255262,,
331,255281,,
332,255266,,
333,255285,,
334,255289,,
335,255300,,
336,255338,,
337,255342,,
338,255306,,
339,255318,,
340,255326,,
341,255334,,
342,255376,,
343,255387,,
344,255392,,
345,255383,,
346,257235_761811003,,
347,255403,,
348,255413,,
349,255415,,
350,257051_755381002,,
351,257063_755852001,,
352,257057_755606001,,
353,257098_757129002,,
354,257155_759390001,,
355,257102_757381001,,
356,257202_760133001,,
357,257129_758260022,,
358,257183_759621001,,
359,257191_759648005,,
360,257223_760850004,,
361,257231_761586001,,
362,257247_762796006,,
363,257268_764947001,,
364,257263_764946001,,
365,257288_766419028,,
366,257292_766617009,,
367,257317_,,
368,257337_768917030,,
369,257339_769244028,,
370,257334_768916037,,
