,train,val,test
0,247622,246434_618740002,257251_762784004
1,247543,247684,246381_614451003
2,247321,255290,244612_657481010
3,246215_607233002,247904_583194001,257272_765192001
4,247601,"257982_782254^1A,1B^A18",247898_583187001
5,247577,244345,246389_614701002
6,247587,244514_656244015,244513
7,247608,246267_609996002,244411_659421011
8,247656,257083_756942003,255407
9,247637,246257_,258076
10,247193,247791_591555010,244525_662487008
11,247738,244843_665425002,244319_629728012
12,248094,247493_589943001,246247_
13,247353,245284_628547007,246230_605521003
14,248090,247817_591099007,246444_615719010
15,248109,255222,255322
16,248181,255367,247763_592027001
17,248150,244857_665672003,245951_595842002
18,248198,244459,247880_594370002
19,248184,257045_772025026,247804_585665001
20,248216,255246,255420
21,248255,248091_593426003,257022_754771004
22,247571_581243002,255259,257210_760377016
23,247574_581242009,257276_765812004,257091_757122002
24,247590_581975001,257147_759391001,258049
25,247712_584444012,247688,247672_587919004
26,247663_587829001,247595,255347
27,245937_595088002,246234_608004002,257219_760848001
28,247685_588194030,246326_613425010,245344_681243008
29,247687_588162004,258173_775661003,245807_
30,247497_589809001,245363_681233001,257284_766219002
31,247487_,244490_625328009,257956
32,247850_,247859_590739001,244471_624333010
33,247835_,244333_620629008,258005
34,244436_623280006,257162_759402003,247985
35,247803_591373003,255294,246301_612364001
36,246518_,258032,245283_628534010
37,248086_593532002,255227,255205
38,247882_594240001,244415_659639007,247599
39,245938_595131001,244990_666633009,244479
40,245934_594991001,255262,245736_598252002
41,244305_629062003,244487_661821007,257155_759390001
42,247550_,245100_626023002,245314_686838002
43,245954_596076006,"257972_782475^1A,1B^A24",247578_581473001
44,245945_595691002,258127_780542002,258068
45,245956_596109001,244347_630464002,245926_597920014
46,245904_597779001,246262_609646018,246210_607375001
47,245932_598064002,258088,"258120_781272^1A,1B^A18"
48,245723_599545012,255220,245819_603323001
49,245862_598653014,258131_779591003,257063_755852001
50,245761_600226004,257102_757381001,244499
51,245804_,246474_615219002,247651
52,245784_,247613_586733002,245800_602496001
53,245793_602155009,245749_600148002,247741_589068011
54,245797_,246362_613611002,245887_
55,245810_,247735_584596010,247881_582580002
56,245829_603454001,247501_589801001,248134
57,245823_603308004,244603_663832002,247198
58,245836_603631003,244328_630012010,247589
59,245851_603625001,246374_613784007,245930_
60,245861_,245897_,247815_585691010
61,246081_,247914_583656009,248096_592282001
62,246481_615202007,245757_600241008,244579_657493002
63,246203_606948001,244939_665864003,246114_604414001
64,246241_608313003,247858_586583010,247653_587622001
65,246430_618866002,247558,246271_610147002
66,246379_614335002,245737_599922001,248057_593814001
67,246377_613789001,246151_,244337
68,246368_613703009,,
69,246412_614745007,,
70,244352_630624006,,
