,train,val,test
0,247622,246230_605521003,255400
1,247543,247712_584444012,247574_581242009
2,247321,248086_593532002,244436_623280006
3,246215_607233002,244521_656605010,245082_658290009
4,247577,248184,255290
5,247608,247738,247850_
6,247656,245829_603454001,246267_609996002
7,247637,247817_591099007,245060_668066002
8,247193,247663_587829001,255367
9,247684,244509_662438007,246434_618740002
10,248094,244305_629062003,247587
11,247353,247791_591555010,248150
12,248090,244565_656451009,244306
13,248109,247493_589943001,257029_754767001
14,248181,257083_756942003,255222
15,248198,247601,247487_
16,248216,245326_,244325_620612004
17,248255,255240,255423
18,247571_581243002,244471_624333010,255330
19,247590_581975001,244395,"258102_782018^1B,1C^A18"
20,247904_583194001,244348,245404_684803002
21,247898_583187001,247544_,246219_605855004
22,245937_595088002,247595,245746_600109001
23,247685_588194030,244302_629075002,257178_759622003
24,247687_588162004,247659,244755_664460002
25,247497_589809001,247664,246273_610145002
26,247835_,257323_768648032,244490_625328009
27,247803_591373003,248212,257147_759391001
28,247763_592027001,257041_755183017,245833_603526001
29,246518_,244404_622409002,245407_684812002
30,247882_594240001,247890_582952012,245294_685229001
31,245938_595131001,257307_767762001,257569_769642018
32,245934_594991001,244857_665672003,257956
33,247550_,258151_777788004,"258124_780788^1A,1B^A24"
34,245954_596076006,258131_779591003,255379
35,245945_595691002,245073_668784001,"257964_782473^1A,1B^A24"
36,245956_596109001,258024,244415_659639007
37,245904_597779001,255213,255275
38,245932_598064002,245086_659227002,257581_769882024
39,245723_599545012,255439,247762_
40,245862_598653014,245090_659261007,257945_782721001
41,245761_600226004,255326,245301_685775012
42,245804_,245323_686863004,246210_607375001
43,245784_,258136_,244446
44,245793_602155009,255387,255338
45,245797_,257339_769244028,257971
46,245810_,247390,255376
47,245823_603308004,244487_661821007,"257972_782475^1A,1B^A24"
48,245836_603631003,258068,255413
49,245851_603625001,255318,244461_661194001
50,246257_,257155_759390001,247616
51,245861_,248079_593590009,246384_614444002
52,246081_,245796_,245811_
53,246481_615202007,245897_,248126
54,246381_614451003,247735_584596010,246199_606365002
55,246203_606948001,245878_599128009,245853_603804007
56,246241_608313003,247538_581033009,245778_601234001
57,246430_618866002,245898_597463001,247582
58,246247_,245777_600957002,244321_620632001
59,246379_614335002,245722_598092001,247662_587732002
60,246377_613789001,247532_594821001,248080
61,246368_613703009,245742_600112001,247707_588309002
62,246412_614745007,245820_603312003,245953_595964002
63,246389_614701002,247815_585691010,246460_615361001
64,246444_615719010,247767_585171002,245226_626860003
65,244352_630624006,245757_600241008,246474_615219002
66,244351_,246254_,245847_
67,244424_622922005,244381_621691016,247741_589068011
68,244429_623111010,,
69,244496_625656006,,
70,245132_626201002,,
71,245273_627374005,,
72,245275_627411012,,
73,245260_627213012,,
74,245247_627345002,,
75,245278_627691002,,
76,245284_628547007,,
77,244319_629728012,,
78,244364_631524002,,
79,244394_631718009,,
80,244612_657481010,,
81,245183_655848001,,
82,244514_656244015,,
83,244507_656262003,,
84,244630_657362007,,
85,244637_658286001,,
86,244398_659401001,,
