,train,val,test
0,247622,255290,245904_597779001
1,247321,248255,244352_630624006
2,246215_607233002,245851_603625001,248109
3,247601,245275_627411012,245723_599545012
4,247637,245784_,244351_
5,247684,244514_656244015,257083_756942003
6,247738,244630_657362007,247898_583187001
7,248094,245956_596109001,245063_668272001
8,247353,247193,244843_665425002
9,248090,245954_596076006,245810_
10,248181,247550_,247587
11,248150,"258111_781724^1A,1B^A23",244670_664015010
12,248198,246081_,245183_655848001
13,248184,245060_668066002,247656
14,248216,247543,247608
15,247571_581243002,247577,247687_588162004
16,247574_581242009,247685_588194030,246434_618740002
17,247590_581975001,245830_603452002,245330_
18,247712_584444012,246487_615051001,257091_757122002
19,247904_583194001,246234_608004002,248095_593423008
20,247791_591555010,257323_768648032,247679
21,247663_587829001,245298_685444002,244390_621990013
22,245937_595088002,257952,247595
23,247493_589943001,247836_585998003,245342_679861008
24,247497_589809001,245291_628725004,245733_
25,247487_,245875_599072001,255259
26,247817_591099007,255314,247567_581184003
27,247850_,244660_664242008,248224
28,247835_,257045_772025026,244459
29,244436_623280006,247688,255347
30,247803_591373003,255209,244320
31,247763_592027001,257041_755183017,257569_769642018
32,246518_,247520_594507001,244857_665672003
33,248086_593532002,257937_,245872_599034001
34,247882_594240001,255403,244534_662676002
35,245938_595131001,255275,257071_757000001
36,245934_594991001,257288_766419028,244367_621523007
37,244305_629062003,244446,247743_588896002
38,245945_595691002,258060,255342
39,245932_598064002,255220,247511_589507002
40,245862_598653014,257078_756939001,255392
41,245761_600226004,255338,257057_755606001
42,245804_,258180_774757002,244410
43,245793_602155009,255253,257263_764946001
44,245797_,244347_630464002,244499
45,245829_603454001,245280_628189002,247599
46,245823_603308004,244814_664614009,244417
47,245836_603631003,258191_774208001,257945_782721001
48,246257_,258039,257921_784002001
49,245861_,258187_774250001,255197
50,246481_615202007,245819_603323001,246278_610152008
51,246230_605521003,246151_,246114_604414001
52,246381_614451003,245870_598870008,247060
53,246203_606948001,244381_621691016,246199_606365002
54,246241_608313003,244460_623941014,245731_598143001
55,246430_618866002,246176_605205001,248243
56,246247_,247278,246386_614573010
57,246267_609996002,244328_630012010,248105
58,246379_614335002,245287_628721002,246251_609386008
59,246377_613789001,244336_621351002,244441_623287010
60,246368_613703009,247609_582573002,245879_599365001
61,246412_614745007,244464_661415003,245813_603128002
62,246389_614701002,244468_624112001,245718_
63,246444_615719010,247815_585691010,248134
64,244325_620612004,246374_613784007,246362_613611002
65,244424_622922005,245820_603312003,246384_614444002
66,244429_623111010,247589,246208_607838001
67,244496_625656006,247670,247823_585837001
68,245132_626201002,,
69,245273_627374005,,
70,245260_627213012,,
71,245247_627345002,,
72,245278_627691002,,
73,245284_628547007,,
74,244319_629728012,,
75,244364_631524002,,
76,244394_631718009,,
77,244565_656451009,,
78,244612_657481010,,
79,244507_656262003,,
80,244521_656605010,,
81,245082_658290009,,
82,244637_658286001,,
83,244398_659401001,,
84,244411_659421011,,
85,244359,,
86,244525_662487008,,
87,244509_662438007,,
88,244522_662475006,,
89,244345,,
90,244655_663828007,,
91,244634_663840003,,
92,244997_666623002,,
93,245071_669533001,,
94,244306,,
95,244405,,
96,244362,,
97,244422,,
98,244462,,
99,244486,,
100,244513,,
101,245371_683442002,,
102,245377_683801002,,
103,245400_684215001,,
104,245305_685908002,,
105,245304_685907001,,
106,245326_,,
107,245320_687141012,,
108,255358,,
109,255367,,
110,255222,,
111,255283,,
112,255298,,
113,255296,,
114,255304,,
115,255322,,
116,255400,,
117,255407,,
118,257029_754767001,,
119,257311_767909001,,
120,257117_758051001,,
121,257110_757591001,,
122,257139_759165001,,
123,257227_761551001,,
124,257251_762784004,,
125,257272_765192001,,
126,257296_766686002,,
127,257299_767142001,,
128,257331_768639030,,
129,258184_774707002,,
130,"258160_776839^1A,1B^A18",,
131,258142_778486026,,
132,"257982_782254^1A,1B^A18",,
133,258092,,
134,258076,,
135,258073,,
136,245838_603618004,,
137,245902_597605003,,
138,247092,,
139,247604_582391010,,
140,247527,,
141,247624,,
142,247659,,
143,247643,,
144,247664,,
145,248107,,
146,248171,,
147,248212,,
148,247544_,,
149,247594_582028001,,
150,247890_582952012,,
151,247749_,,
152,247896_583052002,,
153,247929_584280008,,
154,247804_585665001,,
155,247678_587935004,,
156,247672_587919004,,
157,247638_589050003,,
158,247533_589234002,,
159,247870_590541002,,
160,247875_590507004,,
161,247859_590739001,,
162,247757_592172006,,
163,245910_597777001,,
164,248091_593426003,,
165,245067_669345006,,
166,247899_593940011,,
167,247880_594370002,,
168,247887_,,
169,248078_593831002,,
170,245759_600249014,,
171,246108_,,
172,245951_595842002,,
173,246534_,,
174,245741_598339001,,
175,245766_600563002,,
176,245746_600109001,,
177,245768_600601001,,
178,245826_603325008,,
179,245807_,,
180,245833_603526001,,
181,245835_,,
182,246101_604078002,,
183,246219_605855004,,
184,246207_607225002,,
185,246212_607223001,,
186,246205_606941005,,
187,246245_608572002,,
188,246273_610145002,,
189,246269_610112001,,
190,246305_612679002,,
191,246295_612677009,,
192,246326_613425010,,
193,246409_614740002,,
194,246415_614730003,,
195,244384_621852004,,
196,244341_621331012,,
197,244404_622409002,,
198,244418_622759001,,
199,244453_623461003,,
200,244471_624333010,,
201,244490_625328009,,
202,245166_626537001,,
203,244302_629075002,,
204,244549_656452001,,
205,244454_660524001,,
206,244438_659956008,,
207,244698_664469003,,
208,244755_664460002,,
209,244930_666053001,,
210,245064_668422008,,
211,245047_667676003,,
212,244317,,
213,244348,,
214,244395,,
215,245363_681233001,,
216,245334_678850005,,
217,245344_681243008,,
218,245375_683596011,,
219,245401_684606007,,
220,245404_684803002,,
221,245296_685436002,,
222,245294_685229001,,
223,245407_684812002,,
224,245311_686018009,,
225,245310_687426001,,
226,257178_759622003,,
227,255246,,
228,255240,,
229,255230,,
230,255292,,
231,255330,,
232,255365,,
233,255372,,
234,255396,,
235,255420,,
236,255423,,
237,257022_754771004,,
238,257136_758429021,,
239,257147_759391001,,
240,257210_760377016,,
241,257219_760848001,,
242,257216_760469001,,
243,257240_762105016,,
244,257255_762801005,,
245,257284_766219002,,
246,257276_765812004,,
247,257307_767762001,,
248,257303_767621001,,
249,257330_768882015,,
250,257588_769881030,,
251,"258117_781508^BD,1A^A24",,
252,258176_775163002,,
253,258173_775661003,,
254,"258158_777049^1A,1B^",,
255,258145_778210001,,
256,258065,,
257,258104_,,
258,"258102_782018^1B,1C^A18",,
259,258049,,
260,257956,,
261,247616,,
262,247631,,
263,247185,,
264,247985,,
265,247390,,
266,248161,,
267,247578_581473001,,
268,247709_584422001,,
269,247737_584727003,,
270,247762_,,
271,247697_588910002,,
272,247554_589092002,,
273,247524_589290007,,
274,247828_590980007,,
275,248024_593914006,,
276,245892_,,
277,245926_597920014,,
278,245916_597895006,,
279,245736_598252002,,
280,245865_598718001,,
281,245854_598505011,,
282,245754_,,
283,246262_609646018,,
284,246124_604524002,,
285,246210_607375001,,
286,246264_,,
287,246301_612364001,,
288,244333_620629008,,
289,244485_624612002,,
290,245100_626023002,,
291,245232_626875001,,
292,245283_628534010,,
293,245086_659227002,,
294,245090_659261007,,
295,245091_659396008,,
296,245088_659285001,,
297,244415_659639007,,
298,244461_661194001,,
299,244487_661821007,,
300,244559_662856002,,
301,244659_663992006,,
302,244788_664625001,,
303,244841_664802002,,
304,244990_666633009,,
305,245046_667438012,,
306,245043_667239002,,
307,245073_668784001,,
308,245075_669913005,,
309,244301,,
310,244335,,
311,244371,,
312,244385,,
313,244433,,
314,244452,,
315,244479,,
316,244495,,
317,244523,,
318,245336_679087002,,
319,245372_683551004,,
320,245398_684212002,,
321,245301_685775012,,
322,245312_686086002,,
323,245328_686401015,,
324,245314_686838002,,
325,245323_686863004,,
326,245317_687252002,,
327,257034_754971004,,
328,255200,,
329,255235,,
330,255205,,
331,255213,,
332,255227,,
333,255270,,
334,255262,,
335,255281,,
336,255266,,
337,255285,,
338,255289,,
339,255300,,
340,255294,,
341,255302,,
342,255306,,
343,255318,,
344,255326,,
345,255334,,
346,255376,,
347,255387,,
348,255379,,
349,255383,,
350,257235_761811003,,
351,255413,,
352,255415,,
353,255439,,
354,257051_755381002,,
355,257063_755852001,,
356,257098_757129002,,
357,257123_758258026,,
358,257162_759402003,,
359,257155_759390001,,
360,257102_757381001,,
361,257202_760133001,,
362,257129_758260022,,
363,257183_759621001,,
364,257191_759648005,,
365,257223_760850004,,
366,257243_762103001,,
367,257231_761586001,,
368,257247_762796006,,
369,257268_764947001,,
370,257292_766617009,,
371,257317_,,
372,257337_768917030,,
373,257339_769244028,,
374,257334_768916037,,
375,257581_769882024,,
376,257601_770784027,,
377,"258124_780788^1A,1B^A24",,
378,257981,,
379,258165_776568002,,
380,"258169_776146^1A,1B^A25",,
381,"258162_776838^1,2A^A18",,
382,258151_777788004,,
383,258155_777745002,,
384,258018,,
385,258139_778922002,,
386,258131_779591003,,
387,258136_,,
388,258127_780542002,,
389,"258120_781272^1A,1B^A18",,
390,257911_,,
391,"257964_782473^1A,1B^A24",,
392,257954_782676001,,
393,"257972_782475^1A,1B^A24",,
394,258099,,
395,257930_783706002,,
396,258095,,
397,258088,,
398,258068,,
399,258053,,
400,258085,,
401,258056,,
402,258024,,
403,258028,,
404,258032,,
