,train,val,test
0,247622,247590_581975001,247497_589809001
1,247543,244634_663840003,257311_767909001
2,247321,247803_591373003,244394_631718009
3,246215_607233002,244670_664015010,244522_662475006
4,247577,247712_584444012,247656
5,247587,255358,257299_767142001
6,247637,245829_603454001,258142_778486026
7,247193,257117_758051001,255322
8,247684,245247_627345002,248109
9,247738,247904_583194001,245278_627691002
10,248094,257029_754767001,247763_592027001
11,247353,"258111_781724^1A,1B^A23",244655_663828007
12,248090,246203_606948001,245793_602155009
13,248181,247493_589943001,247898_583187001
14,248150,245932_598064002,247608
15,248198,255290,258073
16,248184,247817_591099007,247601
17,248216,257303_767621001,257022_754771004
18,248255,257307_767762001,245342_679861008
19,247571_581243002,247880_594370002,247896_583052002
20,247574_581242009,247757_592172006,247092
21,247791_591555010,245741_598339001,244459
22,247663_587829001,257041_755183017,246326_613425010
23,245937_595088002,255230,246534_
24,247685_588194030,246219_605855004,245407_684812002
25,247687_588162004,255314,246245_608572002
26,247487_,257240_762105016,244454_660524001
27,247850_,247624,244390_621990013
28,247835_,247533_589234002,244438_659956008
29,244436_623280006,245334_678850005,258049
30,246518_,244857_665672003,245733_
31,248086_593532002,257284_766219002,247664
32,247882_594240001,255246,247899_593940011
33,245938_595131001,246262_609646018,255266
34,245934_594991001,245046_667438012,255403
35,244305_629062003,257288_766419028,255342
36,247550_,255338,258187_774250001
37,245954_596076006,258139_778922002,257034_754971004
38,245945_595691002,244410,244335
39,245956_596109001,245926_597920014,245312_686086002
40,245904_597779001,257981,255392
41,245723_599545012,257129_758260022,244347_630464002
42,245862_598653014,247511_589507002,247616
43,245761_600226004,255376,245100_626023002
44,245804_,258165_776568002,257231_761586001
45,245784_,257078_756939001,257995
46,245797_,245283_628534010,244461_661194001
47,245810_,247709_584422001,245323_686863004
48,245823_603308004,257339_769244028,246278_610152008
49,245836_603631003,247985,255227
50,245851_603625001,245398_684212002,245892_
51,246257_,244481_624604001,244468_624112001
52,245861_,247623_587181003,244375_621723008
53,246081_,244579_657493002,247885_
54,246481_615202007,248096_592282001,245867_598785001
55,246230_605521003,247538_581033009,245930_
56,246381_614451003,247651,247517_580858001
57,246241_608313003,245040_666615008,247874_582429001
58,246430_618866002,247797_,247881_582580002
59,246247_,246171_,246198_606208001
60,246267_609996002,245811_,246222_605713003
61,246379_614335002,245287_628721002,247914_583656009
62,246377_613789001,248111,247060
63,246368_613703009,244451_659993003,245853_603804007
64,246412_614745007,246248_,246114_604414001
