,train,val,test
0,247622,244496_625656006,245247_627345002
1,247543,245723_599545012,244565_656451009
2,247321,245132_626201002,248090
3,247601,246434_618740002,247577
4,247587,246215_607233002,"258111_781724^1A,1B^A23"
5,247608,244422,244364_631524002
6,247193,257272_765192001,244612_657481010
7,247684,247904_583194001,247487_
8,248094,"258160_776839^1A,1B^A18",255296
9,247353,244398_659401001,244345
10,248181,244525_662487008,247656
11,248150,244486,247738
12,248198,255358,248184
13,248216,247712_584444012,245945_595691002
14,248255,248109,245082_658290009
15,247571_581243002,245938_595131001,247637
16,247574_581242009,245954_596076006,246389_614701002
17,247590_581975001,245067_669345006,255423
18,247791_591555010,245902_597605003,258104_
19,247898_583187001,246326_613425010,246212_607223001
20,247663_587829001,257276_765812004,247544_
21,245937_595088002,257219_760848001,245830_603452002
22,247685_588194030,247567_581184003,257307_767762001
23,247687_588162004,247594_582028001,257216_760469001
24,247493_589943001,247664,246415_614730003
25,247497_589809001,245363_681233001,"258158_777049^1A,1B^"
26,247817_591099007,"258117_781508^BD,1A^A24",246205_606941005
27,247850_,245951_595842002,244390_621990013
28,247835_,247659,245407_684812002
29,244436_623280006,246108_,244698_664469003
30,247803_591373003,246305_612679002,244341_621331012
31,247763_592027001,247836_585998003,247520_594507001
32,246518_,257952,244384_621852004
33,248086_593532002,255285,244479
34,247882_594240001,244301,255318
35,245934_594991001,247737_584727003,246124_604524002
36,244305_629062003,255383,245872_599034001
37,247550_,245854_598505011,244446
38,245956_596109001,244788_664625001,255289
39,245904_597779001,"258124_780788^1A,1B^A24",246278_610152008
40,245932_598064002,248024_593914006,258085
41,245862_598653014,255403,244499
42,245761_600226004,247985,255220
43,245804_,257339_769244028,244433
44,245784_,247828_590980007,257034_754971004
45,245793_602155009,244814_664614009,255227
46,245797_,257263_764946001,257971
47,245810_,257337_768917030,257268_764947001
48,245829_603454001,257601_770784027,255342
49,245823_603308004,257937_,257995
50,245836_603631003,244367_621523007,245736_598252002
51,245851_603625001,247617_587008002,247662_587732002
52,246257_,247797_,247923_583981002
53,245861_,246372_613623002,246248_
54,246081_,244336_621351002,246277_610143001
55,246481_615202007,248057_593814001,248105
56,246230_605521003,245287_628721002,245890_
57,246381_614451003,248139,245742_600112001
58,246203_606948001,247827_585855002,247881_582580002
59,246241_608313003,247914_583656009,244313_620528012
60,246430_618866002,247600_,247863_590674002
61,246247_,247874_582429001,245884_
62,246267_609996002,245737_599922001,245820_603312003
63,246379_614335002,247079,245867_598785001
64,246377_613789001,246460_615361001,246259_609521002
65,246368_613703009,245040_666615008,247815_585691010
66,246412_614745007,247767_585171002,247570
67,246444_615719010,246236_608216002,247613_586733002
68,244352_630624006,,
69,244325_620612004,,
70,244351_,,
71,244424_622922005,,
72,244429_623111010,,
73,245273_627374005,,
74,245275_627411012,,
75,245260_627213012,,
76,245278_627691002,,
77,245284_628547007,,
78,244319_629728012,,
79,244394_631718009,,
80,245183_655848001,,
81,244514_656244015,,
82,244507_656262003,,
83,244630_657362007,,
84,244521_656605010,,
85,244637_658286001,,
86,244411_659421011,,
87,244359,,
88,244509_662438007,,
89,244522_662475006,,
90,244655_663828007,,
91,244634_663840003,,
92,244670_664015010,,
93,244843_665425002,,
94,244997_666623002,,
95,245060_668066002,,
96,245063_668272001,,
97,245071_669533001,,
98,244306,,
99,244405,,
100,244362,,
101,244462,,
102,244513,,
103,245371_683442002,,
104,245377_683801002,,
105,245400_684215001,,
106,245305_685908002,,
107,245304_685907001,,
108,245326_,,
109,245320_687141012,,
110,255367,,
111,255290,,
112,255222,,
113,255283,,
114,255298,,
115,255304,,
116,255322,,
117,255400,,
118,255407,,
119,257029_754767001,,
120,257311_767909001,,
121,257083_756942003,,
122,257117_758051001,,
123,257110_757591001,,
124,257139_759165001,,
125,257227_761551001,,
126,257251_762784004,,
127,257296_766686002,,
128,257299_767142001,,
129,257331_768639030,,
130,258184_774707002,,
131,258142_778486026,,
132,"257982_782254^1A,1B^A18",,
133,258092,,
134,258076,,
135,258073,,
136,245838_603618004,,
137,247092,,
138,247604_582391010,,
139,247527,,
140,247595,,
141,247624,,
142,247679,,
143,247643,,
144,247688,,
145,248107,,
146,248171,,
147,248224,,
148,248212,,
149,245733_,,
150,247890_582952012,,
151,247749_,,
152,247896_583052002,,
153,247929_584280008,,
154,247804_585665001,,
155,247678_587935004,,
156,247672_587919004,,
157,247638_589050003,,
158,247533_589234002,,
159,247870_590541002,,
160,247875_590507004,,
161,247859_590739001,,
162,247757_592172006,,
163,245910_597777001,,
164,248091_593426003,,
165,248095_593423008,,
166,247899_593940011,,
167,247880_594370002,,
168,247887_,,
169,248078_593831002,,
170,245759_600249014,,
171,246534_,,
172,245741_598339001,,
173,245875_599072001,,
174,245766_600563002,,
175,245746_600109001,,
176,245768_600601001,,
177,245826_603325008,,
178,245807_,,
179,245833_603526001,,
180,245835_,,
181,246101_604078002,,
182,246219_605855004,,
183,246207_607225002,,
184,246234_608004002,,
185,246245_608572002,,
186,246273_610145002,,
187,246269_610112001,,
188,246295_612677009,,
189,246409_614740002,,
190,246487_615051001,,
191,244404_622409002,,
