,train,val,test
0,247622,248198,245810_
1,247543,244345,257311_767909001
2,247321,257251_762784004,246412_614745007
3,246215_607233002,247791_591555010,245247_627345002
4,247601,244997_666623002,244486
5,247577,247763_592027001,257139_759165001
6,247587,248216,245761_600226004
7,247656,248109,244405
8,247637,245937_595088002,246267_609996002
9,247738,246434_618740002,"258160_776839^1A,1B^A18"
10,247353,248094,247608
11,248181,244612_657481010,248090
12,248150,247193,246518_
13,248184,257227_761551001,245861_
14,248255,244394_631718009,247850_
15,247571_581243002,244352_630624006,244630_657362007
16,247574_581242009,247687_588162004,247684
17,247590_581975001,"258158_777049^1A,1B^",255259
18,247712_584444012,257255_762801005,247880_594370002
19,247904_583194001,248107,255314
20,247898_583187001,247624,255209
21,247663_587829001,244390_621990013,247749_
22,247685_588194030,245951_595842002,255396
23,247493_589943001,244698_664469003,247836_585998003
24,247497_589809001,245741_598339001,257569_769642018
25,247487_,246273_610145002,245766_600563002
26,247817_591099007,247890_582952012,247520_594507001
27,247835_,244395,257045_772025026
28,244436_623280006,247643,257323_768648032
29,247803_591373003,257147_759391001,258176_775163002
30,248086_593532002,255240,244348
31,247882_594240001,246245_608572002,246305_612679002
32,245938_595131001,248078_593831002,244404_622409002
33,245934_594991001,255235,244559_662856002
34,244305_629062003,258068,257911_
35,247550_,245280_628189002,244433
36,245954_596076006,247697_588910002,245854_598505011
37,245945_595691002,247737_584727003,258032
38,245956_596109001,245046_667438012,255376
39,245904_597779001,247578_581473001,255227
40,245932_598064002,245323_686863004,246301_612364001
41,245723_599545012,244367_621523007,257071_757000001
42,245862_598653014,255439,258085
43,245804_,247743_588896002,244333_620629008
44,245784_,255281,245336_679087002
45,245793_602155009,244410,255342
46,245797_,255300,257223_760850004
47,245829_603454001,257231_761586001,255413
48,245823_603308004,247631,258024
49,245836_603631003,258005,244659_663992006
50,245851_603625001,245090_659261007,245317_687252002
51,246257_,244313_620528012,247885_
52,246081_,245897_,245884_
53,246481_615202007,247570,244354_621532002
54,246230_605521003,247670,247892_594249012
55,246381_614451003,247605,247914_583656009
56,246203_606948001,247628_587329002,247534
57,246241_608313003,246502_,246386_614573010
58,246430_618866002,246362_613611002,247662_587732002
59,246247_,245901_,247909_583371001
60,246379_614335002,246114_604414001,245820_603312003
61,246377_613789001,245811_,246393_
62,246368_613703009,244375_621723008,247517_580858001
63,246389_614701002,245040_666615008,246176_605205001
64,246444_615719010,247857_590734012,246233_605534002
65,244325_620612004,245287_628721002,246271_610147002
66,244351_,245878_599128009,245893_
67,244424_622922005,248111,244441_623287010
68,244429_623111010,,
69,244496_625656006,,
70,245132_626201002,,
71,245273_627374005,,
72,245275_627411012,,
73,245260_627213012,,
74,245278_627691002,,
75,245284_628547007,,
76,244319_629728012,,
77,244364_631524002,,
78,244565_656451009,,
79,245183_655848001,,
80,244514_656244015,,
81,244507_656262003,,
82,244521_656605010,,
83,245082_658290009,,
84,244637_658286001,,
85,244398_659401001,,
86,244411_659421011,,
87,244359,,
88,244525_662487008,,
89,244509_662438007,,
90,244522_662475006,,
91,244655_663828007,,
92,244634_663840003,,
93,244670_664015010,,
94,244843_665425002,,
95,245060_668066002,,
96,245063_668272001,,
97,245071_669533001,,
98,244306,,
99,244362,,
100,244422,,
101,244462,,
102,244513,,
103,245371_683442002,,
104,245377_683801002,,
105,245400_684215001,,
106,245305_685908002,,
107,245304_685907001,,
108,245326_,,
109,245320_687141012,,
110,255358,,
111,255367,,
112,255290,,
113,255222,,
114,255283,,
115,255298,,
116,255296,,
117,255304,,
118,255322,,
119,255400,,
120,255407,,
121,257029_754767001,,
122,257083_756942003,,
123,257117_758051001,,
124,257110_757591001,,
125,257272_765192001,,
126,257296_766686002,,
127,257299_767142001,,
128,257331_768639030,,
129,258184_774707002,,
130,258142_778486026,,
131,"258111_781724^1A,1B^A23",,
132,"257982_782254^1A,1B^A18",,
133,258092,,
134,258076,,
135,258073,,
136,245838_603618004,,
137,245902_597605003,,
138,247092,,
139,247604_582391010,,
140,247527,,
141,247595,,
142,247659,,
143,247679,,
144,247664,,
145,247688,,
146,248171,,
147,248224,,
148,248212,,
149,247544_,,
150,247567_581184003,,
151,247594_582028001,,
152,245733_,,
153,247896_583052002,,
154,247929_584280008,,
155,247804_585665001,,
156,247678_587935004,,
157,247672_587919004,,
158,247638_589050003,,
159,247533_589234002,,
160,247870_590541002,,
161,247875_590507004,,
162,247859_590739001,,
163,247757_592172006,,
164,245910_597777001,,
165,248091_593426003,,
166,245067_669345006,,
167,248095_593423008,,
168,247899_593940011,,
169,247887_,,
170,245759_600249014,,
171,246108_,,
172,246534_,,
173,245875_599072001,,
174,245746_600109001,,
175,245768_600601001,,
176,245826_603325008,,
177,245807_,,
178,245830_603452002,,
179,245833_603526001,,
180,245835_,,
181,246101_604078002,,
182,246219_605855004,,
183,246207_607225002,,
184,246212_607223001,,
185,246205_606941005,,
186,246234_608004002,,
187,246269_610112001,,
188,246295_612677009,,
189,246326_613425010,,
190,246409_614740002,,
191,246415_614730003,,
192,246487_615051001,,
193,244384_621852004,,
194,244341_621331012,,
195,244418_622759001,,
196,244453_623461003,,
197,244471_624333010,,
198,244490_625328009,,
199,245166_626537001,,
200,245291_628725004,,
201,244302_629075002,,
202,244549_656452001,,
203,244660_664242008,,
204,244320,,
205,244454_660524001,,
206,244438_659956008,,
207,244755_664460002,,
208,244857_665672003,,
209,244930_666053001,,
210,245064_668422008,,
211,245047_667676003,,
212,244317,,
213,244459,,
214,245363_681233001,,
215,245334_678850005,,
216,245330_,,
217,245342_679861008,,
218,245344_681243008,,
219,245375_683596011,,
220,245401_684606007,,
221,245404_684803002,,
222,245296_685436002,,
223,245294_685229001,,
224,245407_684812002,,
225,245298_685444002,,
226,245311_686018009,,
227,245310_687426001,,
228,257178_759622003,,
229,255246,,
230,255230,,
231,255292,,
232,255330,,
233,255347,,
234,255365,,
235,255372,,
236,255420,,
237,255423,,
238,257041_755183017,,
239,257022_754771004,,
240,257091_757122002,,
241,257136_758429021,,
242,257210_760377016,,
243,257219_760848001,,
244,257216_760469001,,
245,257240_762105016,,
246,257284_766219002,,
247,257276_765812004,,
248,257307_767762001,,
249,257303_767621001,,
250,257330_768882015,,
251,257588_769881030,,
252,"258117_781508^BD,1A^A24",,
253,258173_775661003,,
254,258145_778210001,,
255,258065,,
256,258104_,,
257,"258102_782018^1B,1C^A18",,
258,258049,,
259,257956,,
260,257952,,
261,247599,,
262,247616,,
263,247185,,
264,247985,,
265,247390,,
266,248161,,
267,247709_584422001,,
268,247762_,,
269,247554_589092002,,
270,247524_589290007,,
271,247511_589507002,,
272,247828_590980007,,
273,248024_593914006,,
274,245892_,,
275,245926_597920014,,
276,245916_597895006,,
277,245736_598252002,,
278,245865_598718001,,
279,245872_599034001,,
280,245754_,,
281,246262_609646018,,
282,245819_603323001,,
283,246124_604524002,,
284,246210_607375001,,
285,246264_,,
286,246278_610152008,,
287,244485_624612002,,
288,245100_626023002,,
289,245232_626875001,,
290,245283_628534010,,
291,244347_630464002,,
292,245086_659227002,,
293,245091_659396008,,
294,245088_659285001,,
295,244415_659639007,,
296,244461_661194001,,
297,244487_661821007,,
298,244534_662676002,,
299,244788_664625001,,
300,244841_664802002,,
301,244814_664614009,,
302,244990_666633009,,
303,245043_667239002,,
304,245073_668784001,,
305,245075_669913005,,
306,244301,,
307,244335,,
308,244446,,
309,244371,,
310,244385,,
311,244417,,
312,244452,,
313,244499,,
314,244479,,
315,244495,,
316,244523,,
317,245372_683551004,,
318,245398_684212002,,
319,245301_685775012,,
320,245312_686086002,,
321,245328_686401015,,
322,245314_686838002,,
323,255253,,
324,257034_754971004,,
325,255197,,
326,255200,,
327,255220,,
328,255205,,
329,255213,,
330,255270,,
331,255262,,
332,255275,,
333,255266,,
334,255285,,
335,255289,,
336,255294,,
337,255338,,
338,255302,,
339,255306,,
340,255318,,
341,255326,,
342,255334,,
343,255387,,
344,255392,,
345,255379,,
346,255383,,
347,257235_761811003,,
348,255403,,
349,255415,,
350,257051_755381002,,
351,257063_755852001,,
352,257057_755606001,,
353,257078_756939001,,
354,257098_757129002,,
355,257123_758258026,,
356,257162_759402003,,
357,257155_759390001,,
358,257102_757381001,,
359,257202_760133001,,
360,257129_758260022,,
361,257183_759621001,,
362,257191_759648005,,
363,257243_762103001,,
364,257247_762796006,,
365,257268_764947001,,
366,257263_764946001,,
367,257288_766419028,,
368,257292_766617009,,
369,257317_,,
370,257337_768917030,,
371,257339_769244028,,
372,257334_768916037,,
373,257581_769882024,,
374,257601_770784027,,
375,"258124_780788^1A,1B^A24",,
376,257981,,
377,258187_774250001,,
378,258191_774208001,,
379,258180_774757002,,
380,258165_776568002,,
381,"258169_776146^1A,1B^A25",,
382,"258162_776838^1,2A^A18",,
383,258151_777788004,,
384,258155_777745002,,
385,258018,,
386,258139_778922002,,
387,258131_779591003,,
388,258136_,,
389,258127_780542002,,
390,"258120_781272^1A,1B^A18",,
391,257937_,,
392,"257964_782473^1A,1B^A24",,
393,257954_782676001,,
394,"257972_782475^1A,1B^A24",,
395,257945_782721001,,
396,258099,,
397,257930_783706002,,
398,258095,,
399,258088,,
400,257921_784002001,,
401,258053,,
402,258060,,
403,258056,,
404,258039,,
405,258028,,
406,258036,,
407,257971,,
408,257995,,
409,244377_631846008,,
410,245092_625837004,,
411,246260_,,
412,245953_595964002,,
413,245879_599365001,,
414,247060,,
415,247079,,
416,247558,,
417,247582,,
418,247572,,
419,247589,,
420,247921_583842009,,
421,247198,,
422,247651,,
423,247278,,
424,247302,,
425,247325,,
426,248080,,
427,248105,,
428,248139,,
429,248126,,
430,248134,,
431,248232,,
432,248243,,
433,247557_580749016,,
434,247553_580536001,,
435,247868_586692011,,
436,247538_581033009,,
437,247600_,,
438,247586_581653001,,
439,247609_582573002,,
440,247881_582580002,,
441,247874_582429001,,
442,247910_583436008,,
443,247906_583209001,,
444,247916_583819010,,
445,247923_583981002,,
446,247735_584596010,,
447,247797_,,
448,247767_585171002,,
449,247532_594821001,,
450,247823_585837001,,
451,247815_585691010,,
452,247827_585855002,,
453,247617_587008002,,
454,247864_586605002,,
455,247613_586733002,,
456,247858_586583010,,
457,247642_587400008,,
458,247623_587181003,,
459,247653_587622001,,
460,247707_588309002,,
461,247705_588925005,,
462,247519_589374003,,
463,247741_589068011,,
464,247486_590251003,,
465,247505_589671001,,
466,247501_589801001,,
467,247491_590104009,,
468,247863_590674002,,
469,247810_591247002,,
470,247779_591715008,,
471,248099_592218001,,
472,245870_598870008,,
473,248096_592282001,,
474,248057_593814001,,
475,248079_593590009,,
476,248039_593930001,,
477,247525_594527002,,
478,245940_,,
479,245942_595419001,,
480,245946_595698008,,
481,245949_595809002,,
482,245887_,,
483,245815_603147010,,
484,245890_,,
485,245898_597463001,,
486,245930_,,
487,245731_598143001,,
488,245722_598092001,,
489,245867_598785001,,
490,245868_598891003,,
491,245718_,,
492,245737_599922001,,
493,245751_600150003,,
494,245749_600148002,,
495,245773_600913006,,
496,245726_599802002,,
497,245757_600241008,,
498,245778_601234001,,
499,245742_600112001,,
500,245775_600932001,,
501,245777_600957002,,
502,245790_601954009,,
503,245800_602496001,,
504,245796_,,
505,245813_603128002,,
506,245853_603804007,,
507,245847_,,
508,246151_,,
509,246171_,,
510,246180_605374003,,
511,246187_605373002,,
512,246216_606194001,,
513,246198_606208001,,
514,246222_605713003,,
515,246199_606365002,,
516,246208_607838001,,
517,246236_608216002,,
518,246248_,,
519,246251_609386008,,
520,246259_609521002,,
521,246254_,,
522,246277_610143001,,
523,246374_613784007,,
524,246372_613623002,,
525,246384_614444002,,
526,246474_615219002,,
527,246460_615361001,,
528,244468_624112001,,
529,244321_620632001,,
530,244381_621691016,,
531,244336_621351002,,
532,244460_623941014,,
533,244481_624604001,,
534,245141_626541007,,
535,245226_626860003,,
536,244328_630012010,,
537,244339_630112011,,
538,244358_631336010,,
539,244579_657493002,,
540,244451_659993003,,
541,244464_661415003,,
542,244840_664618001,,
543,244603_663832002,,
544,244931_666055002,,
545,244939_665864003,,
546,244337,,
