,train,val,test
0,247622,244305_629062003,245275_627411012
1,246215_607233002,245132_626201002,246257_
2,247577,248198,247803_591373003
3,247587,247497_589809001,246247_
4,247608,258142_778486026,257139_759165001
5,247656,244424_622922005,245829_603454001
6,247637,244630_657362007,257296_766686002
7,247193,247353,258092
8,247738,245063_668272001,244496_625656006
9,248094,244634_663840003,245810_
10,248090,247684,257117_758051001
11,248109,247601,245304_685907001
12,248181,244429_623111010,244411_659421011
13,248150,245273_627374005,246377_613789001
14,248184,246412_614745007,247543
15,248216,245082_658290009,247321
16,248255,244359,257331_768639030
17,247571_581243002,245902_597605003,257323_768648032
18,247574_581242009,245833_603526001,245310_687426001
19,247590_581975001,245910_597777001,255209
20,247712_584444012,"258102_782018^1B,1C^A18",247638_589050003
21,247904_583194001,255347,257956
22,247791_591555010,246326_613425010,245291_628725004
23,247898_583187001,257255_762801005,258065
24,247663_587829001,246305_612679002,247929_584280008
25,245937_595088002,247643,247533_589234002
26,247685_588194030,247875_590507004,257136_758429021
27,247687_588162004,255423,247544_
28,247493_589943001,246108_,245838_603618004
29,247487_,244930_666053001,247887_
30,247817_591099007,247890_582952012,247678_587935004
31,247850_,257569_769642018,245311_686018009
32,247835_,257216_760469001,245375_683596011
33,244436_623280006,257155_759390001,255205
34,247763_592027001,244433,245091_659396008
35,246518_,244335,245372_683551004
36,248086_593532002,255379,255413
37,247882_594240001,255270,245232_626875001
38,245938_595131001,257971,245280_628189002
39,245934_594991001,248024_593914006,246262_609646018
40,247550_,257078_756939001,247828_590980007
41,245954_596076006,255285,255213
42,245945_595691002,245046_667438012,246278_610152008
43,245956_596109001,"258124_780788^1A,1B^A24",244452
44,245904_597779001,257235_761811003,257268_764947001
45,245932_598064002,255253,257937_
46,245723_599545012,245926_597920014,257292_766617009
47,245862_598653014,244301,255326
48,245761_600226004,258191_774208001,257288_766419028
49,245804_,255334,258180_774757002
50,245784_,244487_661821007,245398_684212002
51,245793_602155009,245775_600932001,248057_593814001
52,245797_,247570,246222_605713003
53,245823_603308004,247628_587329002,245092_625837004
54,245836_603631003,247519_589374003,244358_631336010
55,245851_603625001,245867_598785001,244328_630012010
56,245861_,247881_582580002,245897_
57,246081_,247589,247609_582573002
58,246481_615202007,245737_599922001,246171_
59,246230_605521003,247534,245777_600957002
60,246381_614451003,247797_,245893_
61,246203_606948001,244321_620632001,245800_602496001
62,246241_608313003,245742_600112001,245749_600148002
63,246430_618866002,245942_595419001,248099_592218001
64,246267_609996002,247198,245930_
65,246379_614335002,246198_606208001,244375_621723008
66,246368_613703009,246114_604414001,247815_585691010
67,246389_614701002,247885_,247909_583371001
68,246444_615719010,,
69,244352_630624006,,
70,246434_618740002,,
71,244325_620612004,,
72,244351_,,
73,245260_627213012,,
74,245247_627345002,,
75,245278_627691002,,
76,245284_628547007,,
77,244319_629728012,,
78,244364_631524002,,
79,244394_631718009,,
80,244565_656451009,,
81,244612_657481010,,
82,245183_655848001,,
83,244514_656244015,,
84,244507_656262003,,
85,244521_656605010,,
86,244637_658286001,,
87,244398_659401001,,
88,244525_662487008,,
89,244509_662438007,,
90,244522_662475006,,
91,244345,,
92,244655_663828007,,
93,244670_664015010,,
94,244843_665425002,,
95,244997_666623002,,
96,245060_668066002,,
97,245071_669533001,,
98,244306,,
99,244405,,
100,244362,,
101,244422,,
102,244462,,
103,244486,,
104,244513,,
105,245371_683442002,,
106,245377_683801002,,
107,245400_684215001,,
108,245305_685908002,,
109,245326_,,
110,245320_687141012,,
111,255358,,
112,255367,,
113,255290,,
114,255222,,
115,255283,,
116,255298,,
117,255296,,
118,255304,,
119,255322,,
120,255400,,
121,255407,,
122,257029_754767001,,
123,257311_767909001,,
124,257083_756942003,,
125,257110_757591001,,
126,257227_761551001,,
127,257251_762784004,,
128,257272_765192001,,
129,257299_767142001,,
130,258184_774707002,,
131,"258160_776839^1A,1B^A18",,
132,"258111_781724^1A,1B^A23",,
133,"257982_782254^1A,1B^A18",,
134,258076,,
135,258073,,
136,247092,,
137,247604_582391010,,
138,247527,,
139,247595,,
140,247624,,
141,247659,,
142,247679,,
143,247664,,
144,247688,,
145,248107,,
146,248171,,
147,248224,,
148,248212,,
149,247567_581184003,,
150,247594_582028001,,
151,245733_,,
152,247749_,,
153,247896_583052002,,
154,247804_585665001,,
155,247836_585998003,,
156,247672_587919004,,
157,247870_590541002,,
158,247859_590739001,,
159,247757_592172006,,
160,248091_593426003,,
161,245067_669345006,,
162,248095_593423008,,
163,247899_593940011,,
164,247880_594370002,,
165,248078_593831002,,
166,245759_600249014,,
167,247520_594507001,,
168,245951_595842002,,
169,246534_,,
170,245741_598339001,,
171,245875_599072001,,
172,245766_600563002,,
173,245746_600109001,,
174,245768_600601001,,
175,245826_603325008,,
176,245807_,,
177,245830_603452002,,
178,245835_,,
179,246101_604078002,,
180,246219_605855004,,
181,246207_607225002,,
182,246212_607223001,,
183,246205_606941005,,
184,246234_608004002,,
185,246245_608572002,,
186,246273_610145002,,
187,246269_610112001,,
188,246295_612677009,,
189,246409_614740002,,
190,246415_614730003,,
191,246487_615051001,,
192,244384_621852004,,
193,244341_621331012,,
194,244390_621990013,,
195,244404_622409002,,
196,244418_622759001,,
197,244453_623461003,,
198,244471_624333010,,
199,244490_625328009,,
200,245166_626537001,,
201,244302_629075002,,
202,244549_656452001,,
203,244660_664242008,,
204,244320,,
205,244454_660524001,,
206,244438_659956008,,
207,244698_664469003,,
208,244755_664460002,,
209,244857_665672003,,
210,245064_668422008,,
211,245047_667676003,,
212,244317,,
213,244348,,
