,train,val,test
0,247622,245804_,245797_
1,247543,244351_,245371_683442002
2,247321,244436_623280006,246434_618740002
3,247577,246215_607233002,245723_599545012
4,247608,245132_626201002,257117_758051001
5,247656,257251_762784004,246381_614451003
6,247637,245082_658290009,244398_659401001
7,247193,244514_656244015,245793_602155009
8,247684,247601,245784_
9,247738,247353,246368_613703009
10,248094,246203_606948001,245063_668272001
11,248090,245954_596076006,244630_657362007
12,248109,255298,247587
13,248181,244462,258092
14,248150,247550_,244507_656262003
15,248198,248086_593532002,257029_754767001
16,248184,245945_595691002,245377_683801002
17,248216,247757_592172006,255246
18,248255,247688,245334_678850005
19,247571_581243002,258173_775661003,247929_584280008
20,247574_581242009,257569_769642018,245294_685229001
21,247590_581975001,245296_685436002,246234_608004002
22,247712_584444012,255420,255209
23,247904_583194001,244454_660524001,244348
24,247791_591555010,247890_582952012,255314
25,247898_583187001,247092,255372
26,247663_587829001,248095_593423008,258176_775163002
27,245937_595088002,245166_626537001,244755_664460002
28,247685_588194030,244390_621990013,248171
29,247687_588162004,255396,"258102_782018^1B,1C^A18"
30,247493_589943001,246205_606941005,247567_581184003
31,247497_589809001,247638_589050003,247836_585998003
32,247487_,244459,244404_622409002
33,247817_591099007,257231_761586001,244841_664802002
34,247850_,244659_663992006,258088
35,247835_,257063_755852001,244534_662676002
36,247803_591373003,258151_777788004,245280_628189002
37,247763_592027001,258155_777745002,257601_770784027
38,246518_,257102_757381001,258039
39,247882_594240001,246262_609646018,257911_
40,245938_595131001,258018,255387
41,245934_594991001,257155_759390001,255235
42,244305_629062003,244385,245865_598718001
43,245956_596109001,257162_759402003,245372_683551004
44,245904_597779001,258028,258139_778922002
45,245932_598064002,255262,244487_661821007
46,245862_598653014,255200,245854_598505011
47,245761_600226004,255392,247737_584727003
48,245810_,"257972_782475^1A,1B^A24",257235_761811003
49,245829_603454001,244495,255220
50,245823_603308004,"258124_780788^1A,1B^A24",258180_774757002
51,245836_603631003,247874_582429001,244603_663832002
52,245851_603625001,247079,245773_600913006
53,246257_,245870_598870008,245887_
54,245861_,244354_621532002,248126
55,246081_,247868_586692011,247653_587622001
56,246481_615202007,245742_600112001,246233_605534002
57,246230_605521003,246474_615219002,245778_601234001
58,246241_608313003,247589,248057_593814001
59,246430_618866002,247553_580536001,247906_583209001
60,246247_,247670,247613_586733002
61,246267_609996002,244840_664618001,244321_620632001
62,246379_614335002,244441_623287010,245790_601954009
63,246377_613789001,248079_593590009,247910_583436008
64,246412_614745007,245749_600148002,247914_583656009
65,246389_614701002,244481_624604001,246187_605373002
66,246444_615719010,247707_588309002,245226_626860003
67,244352_630624006,245141_626541007,247609_582573002
68,244325_620612004,,
69,244424_622922005,,
70,244429_623111010,,
